date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:40	99377/99377	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:40%20GMT	https://github.com/CreateJS/SoundJS/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/CreateJS/SoundJS/stargazers.html	(from https://github.com/explore)
22:28:41	28706/28706	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:41%20GMT	https://github.com/CreateJS/SoundJS/network	d:/Meus%20Sites/Jekyll-br/github.com/CreateJS/SoundJS/network.html	(from https://github.com/explore)
22:28:42	130347/130347	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:42%20GMT	https://github.com/musescore/MuseScore	d:/Meus%20Sites/Jekyll-br/github.com/musescore/MuseScore.html	(from https://github.com/explore)
22:28:43	97958/97958	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:43%20GMT	https://github.com/musescore/MuseScore/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/musescore/MuseScore/stargazers.html	(from https://github.com/explore)
22:28:44	27933/27933	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:44%20GMT	https://github.com/musescore/MuseScore/network	d:/Meus%20Sites/Jekyll-br/github.com/musescore/MuseScore/network.html	(from https://github.com/explore)
22:28:45	170483/170483	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:45%20GMT	https://github.com/tomahawk-player/tomahawk	d:/Meus%20Sites/Jekyll-br/github.com/tomahawk-player/tomahawk.html	(from https://github.com/explore)
22:28:46	100944/100944	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:46%20GMT	https://github.com/tomahawk-player/tomahawk/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/tomahawk-player/tomahawk/stargazers.html	(from https://github.com/explore)
22:28:47	29457/29457	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:47%20GMT	https://github.com/tomahawk-player/tomahawk/network	d:/Meus%20Sites/Jekyll-br/github.com/tomahawk-player/tomahawk/network.html	(from https://github.com/explore)
22:28:48	97436/97436	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:48%20GMT	https://github.com/cashmusic/platform	d:/Meus%20Sites/Jekyll-br/github.com/cashmusic/platform.html	(from https://github.com/explore)
22:28:49	98157/98157	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:49%20GMT	https://github.com/cashmusic/platform/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/cashmusic/platform/stargazers.html	(from https://github.com/explore)
22:28:50	29166/29166	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:49%20GMT	https://github.com/cashmusic/platform/network	d:/Meus%20Sites/Jekyll-br/github.com/cashmusic/platform/network.html	(from https://github.com/explore)
22:28:50	109845/109845	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:50%20GMT	https://github.com/mopidy/mopidy	d:/Meus%20Sites/Jekyll-br/github.com/mopidy/mopidy.html	(from https://github.com/explore)
22:28:51	98137/98137	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:51%20GMT	https://github.com/mopidy/mopidy/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/mopidy/mopidy/stargazers.html	(from https://github.com/explore)
22:28:52	28011/28011	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:52%20GMT	https://github.com/mopidy/mopidy/network	d:/Meus%20Sites/Jekyll-br/github.com/mopidy/mopidy/network.html	(from https://github.com/explore)
22:28:53	124728/124728	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:53%20GMT	https://github.com/AudioKit/AudioKit	d:/Meus%20Sites/Jekyll-br/github.com/AudioKit/AudioKit.html	(from https://github.com/explore)
22:28:54	99343/99343	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:54%20GMT	https://github.com/AudioKit/AudioKit/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/AudioKit/AudioKit/stargazers.html	(from https://github.com/explore)
22:28:55	28517/28517	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:55%20GMT	https://github.com/AudioKit/AudioKit/network	d:/Meus%20Sites/Jekyll-br/github.com/AudioKit/AudioKit/network.html	(from https://github.com/explore)
22:28:56	89728/89728	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:56%20GMT	https://github.com/Soundnode/soundnode-app	d:/Meus%20Sites/Jekyll-br/github.com/Soundnode/soundnode-app.html	(from https://github.com/explore)
22:28:57	100566/100566	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2001:28:57%20GMT	https://github.com/Soundnode/soundnode-app/stargazers	d:/Meus%20Sites/Jekyll-br/github.com/Soundnode/soundnode-app/stargazers.html	(from https://github.com/explore)
